No;Periode;% Inflasi;;;;;
95;Nov-16;3.58;;;;;
96;Dec-16;3.02;;;;;
97;Jan-17;3.49;;;;;
98;Feb-17;3.83;;;;;
99;Mar-17;3.61;;;;;
100;Apr-17;4.17;;;;;
101;May-17;4.33;;;;;
102;Jun-17;4.37;;;;;
103;Jul-17;3.88;;;;;
104;Aug-17;3.82;;;;;
105;Sep-17;3.72;;;;;
106;Oct-17;3.58;;;;;
107;Nov-17;3.3;;;;;
108;Dec-17;3.61;;;;;
109;Jan-18;3.25;;;;;
110;Feb-18;3.18;;;;;
111;Mar-18;3.4;;;;;
112;Apr-18;3.41;;;;;
113;May-18;3.23;;;;;
114;Jun-18;3.12;;;;;
115;Jul-18;3.18;;;;;
116;Aug-18;3.2;;;;;
117;Sep-18;2.88;;;;;
118;Oct-18;3.16;;;;;
119;Nov-18;3.23;;;;;
120;Dec-18;3.13;;;;;
121;Jan-19;2.82;;;;;
122;Feb-19;2.57;;;;;
123;Mar-19;2.48;;;;;
124;Apr-19;2.83;;;;;
125;May-19;3.32;;;;;
126;Jun-19;3.28;;;;;
127;Jul-19;3.32;;;;;
128;Aug-19;3.49;;;;;
129;Sep-19;3.39;;;;;
130;Oct-19;3.13;;;;;
131;Nov-19;3;;;;;
132;Dec-19;2.72;;;;;
133;Jan-20;2.68;;;;;
134;Feb-20;2.98;;;;;
135;Mar-20;2.96;;;;;
136;Apr-20;2.67;;;;;
137;May-20;2.19;;;;;
138;Jun-20;1.96;;;;;
139;Jul-20;1.54;;;;;
140;Aug-20;1.32;;;;;
141;Sep-20;1.42;;;;;
142;Oct-20;1.44;;;;;
143;Nov-20;1.59;;;;;
144;Dec-20;1.68;;;;;
145;Jan-21;1.55;;;;;
146;Feb-21;1.38;;;;;
147;Mar-21;1.37;;;;;
148;Apr-21;1.42;;;;;
149;May-21;1.68;;;;;
150;Jun-21;1.33;;;;;
151;Jul-21;1.52;;;;;
152;Aug-21;1.59;;;;;
153;Sep-21;1.6;;;;;
154;Oct-21;1.66;;;;;
155;Nov-21;1.75;;;;;
156;Dec-21;1.87;;;;;
157;Jan-22;2.18;;;;;
158;Feb-22;2.06;;;;;
159;Mar-22;2.64;;;;;
160;Apr-22;3.47;;;;;
161;May-22;3.55;;;;;
162;Jun-22;4.35;;;;;
163;Jul-22;4.94;;;;;
164;Aug-22;4.69;;;;;
165;Sep-22;5.95;;;;;
166;Oct-22;5.71;;;;;
167;Nov-22;5.42;;;;;
168;Dec-22;5.51;;;;;
169;Jan-23;5.28;;;;;
170;Feb-23;5.47 ;;;;;
171;Mar-23;4.97 ;;;;;
172;Apr-23;4.33;;;;;
173;May-23;4;;;;;
174;Jun-23;3.52;;;;;
175;Jul-23;3.08;;;;;
176;Aug-23;3.27;;;;;
177;Sep-23;2.28;;;;;
178;Oct-23;2.56;;;;;
179;Nov-23;2.86;;;;;
180;Dec-23;2.61;;;;;
181;Jan-24;2.57;;;;;
182;Feb-24;2.75;;;;;
183;Mar-24;3.05;;;;;
184;Apr-24;3;;;;;
185;May-24;2.84;;;;;
186;Jun-24;2.51;;;;;
187;Jul-24;2.13;;;;;
188;Aug-24;2.12;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
